
Австралия Австралия	Пим Вербеек
Алжир Алжир	Рабах Саадан
Англия Англия	Фабио Капелло
Аргентина Аргентина	Диего Марадона
Бразилия Бразилия	Дунга
Гана Гана	Милован Раевац
Германия Германия	Йоахим Лёв
Греция Греция	Отто Рехагель
Гондурас Гондурас	Рейнальдо Руэда
Дания Дания	Мортен Ольсен
Испания Испания	Висенте дель Боске
Италия Италия	Марчелло Липпи
Камерун Камерун	Поль Ле Гуэн
Корейская Народно-Демократическая Республика КНДР	Ким Чон Хон
Кот-д’Ивуар Кот-д’Ивуар	Свен-Ёран Эрикссон
Мексика Мексика	Хавьер Агирре


Нигерия Нигерия	Ларс Лагербек
Нидерланды Нидерланды	Берт ван Марвейк
Новая Зеландия Новая Зеландия	Рики Херберт
Парагвай Парагвай	Херардо Мартино
Португалия Португалия	Карлуш Кейрош
Республика Корея Республика Корея	Хо Чжон Му
Сербия Сербия	Радомир Антич
Словакия Словакия	Владимир Вайсс
Словения Словения	Матьяж Кек
Соединённые Штаты Америки США	Боб Брэдли
Уругвай Уругвай	Оскар Табарес
Франция Франция	Раймон Доменек
Чили Чили	Марсело Бьельса
Швейцария Швейцария	Оттмар Хитцфельд
Южно-Африканская Республика ЮАР	Карлос Алберто Паррейра
Япония Япония	Такэси Окада
